v,f0,f1,f2,f3,f4,ulx,uly,llx,lly,t1x,t1y,t2x,t2y,t3x,t3y,t4x,t4y,mnix,mniy,mnmx,mnmy
AA,93.1959,714.979,1178.51,2141.1,3083.28,14789,17972,11135,-28105,-16970,-11922,-30539,-3438,-42024,5034,-53468,12555,-525,-17818,-41111,-9822
AH,89.77,592.306,1100.99,2120.28,2998.77,15275,16873,11866,-26156,-19171,-14089,-32203,-3851,-44435,6201,-56462,13494,-115,-15218,-41418,-7970
AA,89.8285,815.05,1211.38,2191.97,3024.65,14420,18122,9502,-28682,-18224,-11589,-33129,-3751,-44994,4916,-56557,12074,18,-14177,-41303,-7197
AH,91.7445,454.738,1635.92,2488.8,3324.64,14482,18522,10112,-22867,-20764,368,-32639,7762,-43062,12262,-55926,14613,-274,-8444,-41541,-3453
AA,94.8237,698.145,1245.33,2142.58,4075.86,14531,18644,9372,-27795,-17633,-7661,-30320,1943,-40779,9590,-52961,14536,-41,-13194,-41118,-6564
AH,83.8845,536.933,1383.25,2218.17,3149.83,14184,18097,7379,-25840,-18409,-3243,-30224,4278,-41786,8611,-53990,10741,-2115,-10876,-42958,-4909
AA,91.5421,686.742,1202.16,2163.03,3010.48,14067,18001,9229,-27593,-19982,-10583,-33860,-3190,-43744,5456,-54737,11958,-853,-14972,-41736,-7690
AH,87.2263,504.987,1073.18,2063.91,2970.07,14339,17854,10485,-19101,-17540,-8371,-32773,-3392,-44660,5314,-56286,12604,-1350,-12720,-42279,-6480
AA,91.4769,764.949,1234.74,2163.21,3202.2,14234,18088,9132,-27871,-18196,-9980,-33155,-3886,-44852,5260,-55570,12870,-1005,-15319,-41628,-8392
AH,84.1443,280.355,1302.81,2254.87,3668.7,13838,18076,10080,-20393,-12013,-895,-27467,3260,-40489,8110,-53640,13690,-59,-6675,-41317,-2280
AA,93.1602,740.848,1225.46,2202.3,3233.41,14507,18236,9762,-27960,-13046,-11551,-28376,-4831,-40218,2148,-51724,9517,-42,-14517,-41124,-8177
AH,87.4148,1148.96,1539.87,2316.81,3262.8,13861,17653,7775,-30026,-19625,-13074,-34217,-5122,-44780,3990,-55327,12393,-2182,-17784,-42090,-9773
AA,91.6812,707.992,1199.93,2230.11,3304.87,13881,17548,8545,-29121,-18527,-13156,-34003,-6174,-45146,2451,-54938,11555,-1385,-16958,-41774,-9172
AH,85.2673,507.838,1363.62,2263.17,3114.75,14148,18023,9170,-25025,-22553,-520,-33560,5925,-43688,10772,-55726,12644,-848,-11627,-41296,-5792
AA,89.0037,723.064,1244.57,2199.37,3004.31,14332,18149,9080,-28771,-19159,-9333,-32848,-2269,-43406,6031,-54638,12176,-496,-14902,-41368,-8062
AH,84.4475,548.33,1776.9,2535.77,3196.97,14328,18887,9480,-25104,-24460,2,-34743,6431,-44485,11418,-56558,13094,45,-11194,-39888,-5700
AA,89.2485,769.753,1239.49,2188.29,2946.39,14269,18330,9048,-30039,-20573,-9583,-32633,-695,-43336,7120,-55346,12468,-286,-15861,-40826,-8613
IY,106.217,288.71,1761.64,2361.87,3528.67,14101,16237,7546,-21809,-13501,9088,-23829,14035,-33257,20741,-48264,22867,-1037,-6426,-42761,-2041
UX,97.4461,263.808,2155.32,2727.48,4176.01,14334,17482,3956,-25095,-13035,1033,-21373,11907,-31313,22448,-47232,25123,-1971,-7083,-43478,-2460
AE,100.216,485.561,1373.83,1792.84,2876.17,15928,17174,10435,-18193,-22434,2948,-28536,13840,-37770,20412,-51900,20124,-741,-9739,-42591,-4430
IY,96.2798,496.118,1783.08,2351.54,2854.37,15559,17168,8812,-20589,-16051,8926,-24521,13879,-33198,20532,-46943,21834,-1028,-7851,-42850,-3145
AE,89.752,293.568,1361.21,2357.56,3453.05,16337,16574,8105,-19929,-15758,7853,-25615,11354,-34662,18053,-48664,21048,-1817,-7123,-43353,-2586
IY,93.3879,347.435,1274.83,1980.31,2975.78,15826,15064,10790,-16986,-19108,7300,-27145,17128,-36987,22840,-50787,23712,-1722,-7290,-43965,-2292
AE,91.108,623.646,1514.65,2163.3,3122.27,13734,17827,5138,-28614,-17840,-4144,-27461,5325,-37644,12986,-51776,17974,-1567,-11446,-43111,-5482
AE,74.2466,621.965,1511.08,2389.82,3562.92,13470,17912,7229,-24768,-16900,1370,-28635,6273,-39790,11010,-52712,14976,-725,-9700,-42314,-4733
UX,96.3975,227.684,1677.6,2588.41,3573.12,16819,18572,13177,-14410,-12878,-1520,-20695,9728,-30020,21700,-46125,25528,-710,-6356,-42379,-2165
AE,93.9959,157.468,1948.56,2712.14,3870.88,16280,19523,8117,-18086,-18964,13947,-29553,19255,-39984,22544,-52761,19057,-833,-3140,-43391,548
UX,116.818,285.792,1448.77,2203.94,4034.81,17047,16468,10874,-16580,-16900,9850,-28158,15075,-37474,21897,-51916,23882,-447,-5145,-42528,-1215
AE,105.643,578.666,1544.8,2278.01,3316.7,14041,17906,6746,-22234,-10359,6151,-23171,9413,-35299,12745,-49217,15473,-1889,-5911,-43786,-1503
IH,102.243,239.359,1307.03,2172.57,3037.51,13760,13791,12980,-14774,-17934,-753,-29045,6979,-38998,13454,-53453,16184,-1322,-6901,-43122,-2523
AO,83.7893,198.367,1552.12,3036.67,3830.15,17039,15914,9193,-19285,-22729,14836,-33109,17649,-44296,18530,-55820,11113,-1133,-7153,-43176,-2576
UX,95.0434,318.001,1425.29,2196.01,3778.43,17866,16028,10739,-16656,-14237,5925,-26459,12907,-37063,21123,-52264,22624,-1246,-5862,-42932,-1434
AH,87.8422,668.265,1485.23,2427.04,3511.22,14024,18323,6732,-25084,-11153,337,-25719,804,-38348,7408,-51535,12449,-1664,-8701,-43442,-3580
IH,80.5107,212.139,1757.38,2652.15,4154.82,13972,18050,7336,-21485,-13075,648,-23921,8504,-34487,19407,-50098,24734,-1992,-6171,-43808,-1942
UX,88.1913,239.751,1131.94,2297.52,3293.69,15054,14755,16389,-11031,-14129,-1895,-25286,6072,-36291,17406,-52684,21543,287,-5924,-41480,-1710
AH,91.1025,749.095,1467.91,2575.1,3602.33,13848,16301,9210,-20950,-10131,2412,-24605,7510,-37734,10464,-52712,15478,-558,-4598,-42586,-739
EH,102.415,297.908,1388.3,2473.89,3804.98,14382,18774,8476,-22004,-12720,6468,-24502,7619,-35934,11168,-51820,15544,-1004,-5143,-42991,-1333
IH,100.67,257.132,1257.86,2265.83,4225.41,14846,18709,9888,-19293,-10548,6401,-21852,8641,-33263,13556,-48501,13519,-932,-5265,-42973,-1213
IH,94.5456,332.048,2081.15,2580.62,3651.19,14210,19250,8379,-22419,-13318,880,-23163,10446,-33206,20897,-50921,25587,-959,-5461,-42758,-1393
UX,91.9185,270.597,1354.69,2199.5,3082.13,14693,13423,14750,-12766,-13845,1052,-25771,7866,-36913,14601,-51544,18428,-1209,-6792,-43146,-2638
EH,88.509,202.147,1641.31,2504.22,3151.64,14642,17946,5355,-25795,-21190,9295,-32813,14666,-43746,16951,-56382,14949,-896,-6582,-42656,-2314
AE,76.7471,669.394,1697.94,2165.07,3313.14,13111,18246,3216,-30206,-16393,-6873,-28149,1529,-39988,11495,-53557,16775,-2104,-12384,-43551,-6405
AO,106.985,577.072,1154.26,1802.35,2730.62,21018,21995,10885,-21820,-28657,6491,-37600,14781,-47781,19256,-60604,16855,-1291,-9431,-43025,-3663
AE,107.594,497.232,1475.58,2326.03,3636.16,14215,18454,5885,-25593,-12958,-217,-27057,5057,-39349,11831,-53283,16643,-2210,-7907,-44702,-1643
EH,100.962,543.812,1468.4,2677.53,3357.57,14821,16312,6878,-22596,-14948,2832,-26626,6559,-38783,10334,-52936,15395,-1734,-5812,-44271,-323
AH,84.8548,377.786,1178.94,2306.39,3079.87,15338,19158,10146,-16903,-13710,2687,-26504,6709,-38913,11063,-52013,14002,-1526,-6209,-44392,-369
AE,92.1689,272.784,1657.52,2396.21,3665.63,13479,17481,4667,-25153,-16582,3859,-26995,10369,-37186,16885,-51212,19449,-1754,-6326,-44001,-578
AA,88.4776,608.946,1253.89,1771.73,2852.81,15901,19958,6781,-24634,-25413,6077,-35608,11166,-45813,16313,-58502,15005,-1799,-9466,-43444,-2888
AO,101.433,630.039,1278.91,2125.08,3369.47,17951,21130,6725,-24325,-23646,-207,-35359,4876,-44788,10881,-56526,17223,-2400,-9516,-44926,-2495
IY,99.9528,301.321,1940.6,2537.18,3849.84,15594,17731,7200,-22670,-13802,2573,-23676,14334,-32647,22788,-50071,23396,-498,-6032,-43256,-460
AE,90.7178,599.692,1542.27,2712.86,3547.74,14165,17496,5864,-24003,-14417,1208,-25265,8758,-34961,16125,-50418,18939,-1461,-7234,-43882,-1224
AH,104.769,260.308,1605.12,2336.66,3502.05,17357,19395,5098,-26793,-21624,10497,-32078,11202,-42856,15633,-56840,15588,-1488,-8864,-44439,-2467
IY,87.0309,242.701,1720.07,3461.48,4182.75,17962,17229,7372,-19170,-13144,3189,-24513,14381,-35517,22494,-52975,22604,-1077,-5013,-43874,283
UX,86.717,364.569,750.703,2369.18,3089.23,18783,12812,6779,-19900,-23743,-8639,-33664,3329,-44194,16576,-60689,23713,-1905,-8982,-44557,-2610
AO,0,571.571,1028.11,1866.79,2838.54,19696,21931,10959,-19302,-22236,10247,-33016,15743,-43788,19404,-56638,16385,-1199,-6174,-43805,-857
IH,107.492,351.934,1277.27,2183.64,4143.2,14715,12993,10576,-18332,-21269,7488,-31335,13849,-41817,18897,-56426,16391,-2006,-6958,-45041,-1036
AO,100.222,505.677,1190.69,1665.01,2736.31,17279,16879,9870,-18940,-29135,4892,-36849,17477,-47192,23098,-61910,20969,-1244,-7147,-43535,-1677
IY,95.9832,312.095,1630.95,2402.8,3668.35,14699,18173,8538,-22535,-14817,5180,-25335,13519,-35609,20786,-52171,20924,-511,-5524,-42814,-316
IH,94.1956,357.293,1646.98,2652.26,3588.85,14374,17896,7885,-22970,-12328,5298,-23466,12794,-33838,19875,-50434,21995,-453,-4844,-42977,202
IY,91.7941,274.39,1999.34,2463.99,3691,15385,16464,7559,-22686,-15547,-486,-24105,10706,-35340,21294,-53587,25320,-1003,-5311,-43794,100
AE,0,266.729,1413.94,2746.64,3862.44,14339,17226,5326,-24455,-13190,2743,-25407,7561,-35672,12947,-50209,17425,-1979,-6538,-44445,-779
UX,86.4566,358.08,720.864,2348.23,3247.11,18645,14450,13078,-17739,-22747,-8585,-31756,3239,-41530,15099,-58426,23172,-379,-8487,-43168,-2748
UX,124.378,408.396,1216,2279.59,3261.27,16277,17332,12688,-17315,-14471,-5,-25525,11150,-36462,19594,-52385,24673,-465,-4753,-42808,621
IH,99.2941,306.659,971.788,2645.27,3311.09,16954,14457,9582,-19517,-18531,5140,-29792,7440,-39821,12077,-55099,19336,-1474,-5156,-43880,-205
AE,96.715,606.532,1686.03,2537.52,3427.71,14255,17999,1556,-31119,-13603,-2489,-23904,4386,-34472,11667,-49386,13817,-1455,-8930,-43752,-2524
IH,97.8929,342.561,1294.87,2195.32,3152.71,14785,15923,6204,-23784,-15252,1756,-26689,9693,-37571,15436,-52425,16353,-1138,-6055,-43040,-421
AH,90.5578,567.381,928.357,2244.81,3303.56,15666,18877,9356,-22299,-15806,1884,-31035,503,-45407,5015,-57190,14045,-1681,-8068,-44354,-1808
AE,101.165,264.887,1360.03,2322.72,3388.42,14280,18032,8076,-22851,-10822,677,-25195,6730,-37695,12027,-52727,15895,-990,-5646,-43537,-558
EH,97.6983,393.833,1405.33,2893.29,3463.97,14563,15751,7645,-20427,-14963,3874,-26584,4750,-38201,9701,-53582,16184,-1563,-5740,-44143,-296
AH,83.6582,265.242,1107.31,2187.58,3802.32,14763,19336,10969,-15167,-14485,3740,-27127,6771,-39438,11389,-53360,14986,-1638,-5698,-44035,-129
AE,0,424.567,1632.91,2462.93,3500.98,13985,17674,5832,-24820,-15090,4038,-25805,10685,-35607,17945,-50343,21137,-1200,-6996,-43345,-1418
AA,84.4645,583.437,1279,1799.78,2743.81,15266,18861,9579,-21924,-24780,4804,-34471,11483,-44455,17106,-58518,16485,-1346,-9748,-43383,-3430
IH,0,267.726,1638.05,2569.08,3479.06,15416,18639,11038,-19752,-8418,-1891,-19922,5076,-28555,15115,-43467,20780,-261,-9946,-42348,-3924
AE,95.0321,536.433,1525.81,2406.69,4006.98,14978,18102,8044,-27890,-15722,-4882,-27368,1648,-37645,8931,-50242,14254,-140,-11830,-42399,-5054
AE,100.473,552.653,1525.65,2427.63,3838.69,14895,18136,7386,-25422,-15415,-4087,-26644,3787,-38447,11045,-52091,14326,-1137,-9024,-43083,-2780
AH,104.663,502.263,1647.49,2433.17,3828.29,13983,15298,10305,-19371,-21659,-764,-32816,6895,-43141,13466,-56899,16006,-824,-6738,-42977,-1391
AE,94.4379,615.014,1570.67,2354.88,3339.22,14085,18192,6570,-26263,-17195,-4576,-28058,4397,-38818,12115,-52542,16751,-399,-9905,-42444,-3720
AH,111.513,501.968,1468.26,2484.73,3073.12,16248,19808,6673,-26770,-21758,743,-31527,7588,-41326,14569,-55263,15941,-2369,-9152,-44997,-3297
IY,81.5851,340.293,2027.91,2440.22,3305.08,18629,17924,6438,-23587,-16306,4544,-26034,16055,-36179,23465,-52657,20360,-939,-7702,-43748,-2145
AH,90.6952,262.3,1314.32,2517.7,3620.14,14548,18662,6982,-26209,-20332,3753,-31776,7021,-42282,10612,-54741,11712,-1531,-10328,-44067,-4604
AE,89.1871,623.421,1741.51,2439.92,3321.82,14432,16730,3961,-27399,-13431,-5001,-24106,4575,-33245,14606,-47527,19380,-886,-11201,-43332,-5157
IH,96.7225,518.271,1116.99,2232.69,3371.63,15439,19141,8396,-23051,-11047,266,-25752,6788,-39245,13361,-53123,18031,-1206,-6426,-44377,-1385
EH,99.707,507.355,1566.18,2683.18,3541.22,14795,18566,10447,-21682,-11086,536,-24245,7171,-35621,13713,-50484,17027,552,-5277,-41971,-1812
UX,112.55,340.001,733.341,2391.88,3193.16,20304,18068,12543,-20424,-22253,-4661,-33751,2548,-42917,13786,-60233,22921,-1945,-8161,-44016,-2380
AO,105.6,553.79,1048.52,1832.89,2713.57,19815,23841,13476,-20195,-32686,4514,-42323,13774,-52913,18934,-66180,19000,-1661,-11529,-43298,-4619
IH,101.059,430.094,828.186,2412.06,2956,20978,22417,8115,-21761,-20539,3886,-31676,8784,-42201,13482,-56601,17766,-785,-5973,-43569,-564
IY,94.9163,269.18,2351.98,2864.6,3555.27,14616,18124,9023,-24738,-10896,-3200,-20127,10387,-29546,21285,-47984,24881,2263,-7968,-39053,-2732
AE,85.7347,684.1,1626.01,2365.98,3755.47,14134,17027,9011,-29914,-13036,-7933,-24771,-3083,-34252,6963,-47599,12256,54,-16956,-41403,-9037
EH,98.3327,569.448,1699.74,2725.85,3462.61,13768,16977,1760,-28993,-15038,-889,-25017,7190,-35567,14089,-51699,17264,-1344,-7182,-43834,-1272
IY,98.4929,288.25,2221.43,2734.92,3461.06,16042,18164,6537,-26466,-14940,3489,-23394,14897,-32876,22825,-49545,23309,558,-6291,-41708,-1628
AO,97.7751,540.051,1061.81,1961.65,2723.49,19626,22266,13450,-18140,-28332,-3824,-34427,8118,-42587,16888,-56871,20743,-444,-8955,-42414,-3226
AE,88.8657,679.175,1683.17,2311.61,3262.99,13848,17094,9964,-28239,-10788,-12026,-23772,-4854,-33609,6743,-45773,13773,1445,-17699,-39475,-9318
IH,122.456,503.945,1948.89,2491.41,3414,13589,20426,7813,-22571,-12366,1305,-23528,9169,-34838,17733,-50093,19740,-1218,-6922,-44086,-817
IH,108.246,565.604,1553.42,2688.79,3432.39,14562,19519,6208,-21455,-13118,2485,-23980,9028,-33852,16938,-49484,21013,-1166,-5593,-42836,-758
EH,102.333,409.05,1483.58,2287.55,3659.28,14151,18481,9715,-19174,-11810,4856,-25045,9256,-36403,12747,-50452,15628,-485,-4506,-42536,-208
AH,88.5864,275.304,988.146,2140.34,2953.63,14566,18116,11152,-14946,-12387,1476,-26343,8181,-38481,10051,-52674,13499,-971,-4667,-43200,108
AO,89.0827,403.425,707.533,2129.37,2943.05,20431,16577,12326,-20442,-34923,-6064,-40064,8424,-48367,17646,-63415,22255,-1562,-11314,-43435,-5023
UW,121.375,250.115,1332.14,2252.51,4180.32,17174,15988,8796,-19034,-23885,5677,-35110,7798,-44197,13465,-57022,18433,-1772,-7283,-44050,-2280
IY,107.872,278.191,2052.2,2491.9,3756.1,15924,18779,8054,-21411,-11020,2439,-22180,10967,-32279,20930,-48423,24633,-460,-5117,-43056,-647
UX,98.1142,286.267,1100.96,2248.75,3270.16,17796,15908,11901,-17498,-13458,-198,-23474,10786,-34723,20673,-50255,25170,-1207,-6897,-43457,-1663
AE,91.9773,701.067,1588.65,2341.66,4331.93,13403,15960,4303,-31571,-15544,-9358,-28350,-2810,-38953,6098,-50753,12060,-1251,-15979,-42742,-8013
EH,104.512,554.63,1673.67,2225.94,4129.61,14224,18618,8041,-23215,-12811,-1785,-24528,6919,-36410,13417,-52600,18209,-901,-6090,-43236,-1133
IH,99.6653,385.749,920.288,2367.44,2628.31,18073,19269,10514,-19292,-20206,4885,-30725,9405,-41032,14981,-54888,19892,-997,-5704,-43946,-786
AA,80.688,594.042,1227.6,1712.97,2697.42,16764,19225,11346,-21341,-24039,9568,-34513,17119,-45481,19918,-57511,15918,-1288,-9788,-43357,-3975
AO,89.1897,615.907,1026.62,2088.69,2992.46,16655,18996,12441,-21148,-21650,-8935,-35140,-753,-45614,9175,-58653,16355,-2068,-13070,-44469,-5865
EH,92.4808,313.321,1815.18,2377.93,3007.78,14279,15643,9062,-22039,-19447,915,-31129,8238,-42147,12501,-55459,14153,-962,-7208,-43464,-1646
IY,91.7419,234.657,1712.33,2400.69,3222.41,14190,16361,8538,-22703,-10713,89,-20505,11606,-31765,21952,-48344,24989,-947,-6401,-43849,-1527
IH,113.517,337.348,2317.68,2570.54,3824.97,14659,19192,7293,-24540,-10792,1081,-22431,8558,-34223,18325,-50786,21776,-1325,-6679,-44176,-1528
IH,98.5846,376.904,1432.07,2561.76,3633.17,15105,19289,8320,-21794,-11119,3607,-23366,10694,-34440,19026,-51746,23185,-1426,-5355,-44368,-663
AO,116.164,538.023,853.192,2100.21,2849.77,19970,19849,11148,-21808,-31812,-6690,-38275,5353,-47047,14181,-60704,18910,-978,-13204,-42527,-6122
AE,98.1272,718.599,1668.17,2402.55,3038.66,13697,16614,3851,-31046,-14032,-7936,-27371,-3141,-38768,5328,-51823,9523,-463,-15331,-42169,-7177
AE,91.8915,690.058,1689.55,2429.54,2978.29,13833,16330,8035,-28902,-14724,-10039,-25477,-2015,-36020,6826,-48218,13082,787,-16984,-40228,-9080
UX,98.4302,358.161,1191.7,2240.39,3108.25,19056,13657,9087,-20375,-19423,3936,-29722,15280,-39911,21261,-54465,17766,-1255,-10016,-43364,-4066
IH,104.135,468.739,996.1,2511.61,3073.74,19510,19672,8606,-22263,-17761,4743,-29175,9127,-39994,13189,-54404,16663,-1121,-7720,-44124,-1791
IH,81.4787,453.78,2145.98,2523.9,3525.89,15479,15329,6182,-24760,-16434,-9804,-25101,2114,-35079,13741,-49563,19836,-2550,-14368,-43995,-7093
IH,87.9088,492.567,2036.07,2628.63,3542,13801,17193,7850,-23700,-12726,-5466,-22079,3899,-30169,17061,-48156,23219,-1825,-9276,-43496,-3928
IY,95.9072,285.161,2218.8,2515.18,3842.44,17307,19897,3945,-27343,-12282,-1484,-21033,8465,-30682,20396,-47264,24790,-1029,-8525,-43591,-2889
AH,87.7594,594.983,1358.4,2210.17,3358.45,17633,19119,3981,-29504,-19797,-6838,-30555,490,-38455,10980,-51798,18344,-1550,-10358,-43696,-4223
AH,105.73,549.412,1255.74,2369.15,2905.87,16807,17729,7198,-27001,-23918,-8685,-34054,1372,-43421,9747,-58310,15613,-702,-10936,-43221,-4719
IH,83.7688,304.769,1744.41,2566.45,3788.33,15670,19697,10060,-20640,-9675,4149,-22803,10291,-33129,18623,-49734,21590,-68,-5191,-42608,-1060
UX,101.012,284.633,1152.5,2370.42,3390.59,20111,15886,12951,-17183,-13098,-3980,-22352,7663,-33540,19468,-49966,24747,-626,-9311,-43200,-3726
IH,87.9083,447.794,1887.33,2449.58,3644.79,13858,17753,7441,-25627,-10821,-3107,-22117,4643,-32664,14399,-48104,17904,-9,-9583,-41732,-4174
AO,91.3969,598.554,871.149,2131.4,3134.18,15346,18534,11925,-18672,-16380,-372,-31186,-1432,-45072,3265,-56807,13284,-2391,-9912,-44595,-3992
IY,101.444,402.268,2145.73,2505.24,3282.46,15214,18272,9268,-20307,-12018,4199,-21574,12075,-31134,19244,-46875,22739,-721,-5085,-43738,-515
IH,99.877,250.954,1983.44,2644.22,3562.19,15299,18751,9504,-21266,-16710,7217,-25001,15418,-33081,23215,-48420,24985,-461,-4653,-43362,-322
IY,95.5871,275.937,1884,2450,2951.84,16305,17103,12240,-16742,-17490,4465,-24075,15814,-33219,22953,-48172,23111,-734,-6707,-43361,-1844
IY,95.2924,431.774,2101.6,2650.34,3380.19,14931,18766,9286,-22341,-10965,5304,-21141,13636,-30077,21744,-45821,24583,-212,-6433,-42906,-1721
IH,0,398.619,1515.32,2388.95,4134.08,14592,18792,8574,-22224,-12110,-250,-22731,9005,-32306,16793,-47488,22022,-1596,-6683,-44066,-1485
AA,87.0026,594.546,1198.29,1732.39,2856.77,15452,19163,11265,-23962,-27929,3429,-36854,12163,-48580,13232,-59575,11454,-816,-11191,-43963,-5022
IY,89.9656,374.398,2048.34,2447.19,3572.39,15977,19369,9193,-22567,-10467,171,-20189,10206,-30831,20622,-46907,24676,-1261,-7567,-43387,-2544
AH,82.1831,597.33,1253.37,2304.2,3332.78,15673,19293,8557,-25220,-20491,-7452,-31787,207,-40652,9898,-53755,17129,-1593,-10274,-43800,-4286
AH,103.25,552.655,1461.95,2452.07,2962.72,16063,17099,9981,-22584,-22591,-3123,-33986,5896,-44470,13225,-57587,17620,-564,-8818,-43298,-3444
IH,0,336.223,1937.54,2486.82,3576.39,15158,19112,10136,-21308,-10012,2923,-21233,10789,-32159,20136,-48324,23448,-317,-5739,-43187,-794
UX,94.0365,266.751,806.588,2416.99,3524.5,18692,17428,15900,-14601,-15500,-3872,-24525,9808,-36435,21593,-52355,25892,10,-7261,-41968,-2659
IH,88.2506,390.718,1904.82,2373.49,3577.6,14101,17157,9157,-23185,-10732,-1510,-22105,5983,-32957,15485,-48473,18894,-467,-8677,-43243,-3311
IY,112.543,352.367,2284.76,2718.77,3506.41,15375,18213,6097,-24304,-12571,-190,-22255,12327,-31153,22141,-47510,24985,-195,-6475,-42157,-1573
UX,93.2593,503.801,1372,1862.21,2810.2,17588,17876,10044,-17995,-25529,7433,-34736,16436,-44735,21168,-58350,17042,-513,-6503,-42792,-1575
EH,99.7037,589.324,1100.02,2204.04,3258.59,14741,18564,6509,-24277,-14788,-2273,-29088,3620,-40740,7934,-54156,12623,-1487,-7964,-43900,-2472
AO,94.3792,679.395,1105.68,2150.42,3160.17,16466,20974,10318,-25806,-22388,-7651,-35863,-644,-46725,8039,-57415,16589,-1600,-12714,-43977,-5806
EH,103.38,512.066,1572,2714.66,3578.83,13301,16722,8992,-19809,-14323,-725,-25816,9086,-36421,14018,-51369,16797,-151,-4770,-42599,-787
EH,101.811,571.597,1728.4,2193.46,3536.98,13447,17333,5556,-26940,-9834,-3899,-23925,3693,-36001,8307,-50101,12080,-264,-9161,-42113,-3950
UW,99.2799,437.704,1437.57,2416.11,3240.28,19186,21707,7451,-20176,-18742,-3348,-30248,2234,-40899,10338,-55593,18285,-1145,-6769,-43417,-2162
AE,82.0118,664.34,1621.95,2494.71,3070.63,15167,17619,7728,-26699,-18251,-1432,-25761,8144,-34940,16166,-50030,18590,-1257,-12852,-42896,-6340
IH,97.4099,490.316,1708.65,2450.08,3784.63,14230,19474,8320,-25016,-11525,1096,-23926,6493,-34710,13649,-49329,17454,101,-6562,-42527,-1856
AO,83.6681,641.228,1119.95,2122.27,3162.98,15404,19246,12451,-21381,-19711,-6605,-34719,306,-46489,9003,-57707,17272,-749,-10473,-42909,-4427
IY,90.1444,276.15,2245.72,2639.02,3250.56,15342,19019,9768,-23537,-12963,585,-21123,13204,-31981,22438,-49203,25004,139,-6477,-41798,-2007
IH,99.2676,375.373,875.681,2552.28,2918.07,19702,21096,7505,-20842,-18921,3772,-29493,8016,-40461,13167,-54549,18209,-884,-5909,-43513,-1215
EH,95.9799,323.037,1435.8,2404.95,3488.94,17978,15183,9048,-20186,-23133,-3266,-31012,8381,-39956,18018,-56468,22587,-2680,-9105,-45185,-3489
EH,102.759,539.271,985.638,2294.23,3299.86,15197,18261,7249,-24252,-11825,-113,-26264,2053,-39610,6272,-54934,14509,-2242,-8720,-45113,-2863
UX,100.003,262.258,1456.04,2398.13,3064.74,18615,18154,14991,-15519,-12029,-366,-22083,9668,-33346,19558,-51591,25169,882,-4253,-41487,-744
AO,90.9735,482.616,882.999,2001.35,2840.17,21092,18806,13183,-19144,-33591,-6988,-37162,7288,-45837,17178,-61218,22986,-1835,-11685,-43417,-5878
UX,96.0719,229.649,1770,3503.9,4114.41,17525,19655,13084,-16766,-8950,461,-18691,11174,-28491,20983,-46227,24127,140,-5519,-42401,-1736
AE,88.9492,288.447,1792.57,2571.31,3826.65,15689,19466,8225,-20875,-17102,11190,-26693,15324,-36004,20850,-50038,20844,-801,-4877,-43463,-753
UX,120.736,255.935,1312.88,2126.78,2583.82,18350,18915,10266,-18083,-18940,5672,-28946,16135,-38174,23680,-53269,25049,363,-4710,-43034,-586
AE,102.265,502.994,1494.98,2278.62,3355,13960,17578,4074,-27605,-18576,-777,-29665,6489,-39057,13239,-51438,17923,-1999,-7505,-45159,-1898
IH,79.4803,241.583,1821.06,2692.78,4099.3,14071,17718,6771,-22349,-12067,840,-23405,5842,-33622,14740,-48863,20370,-1668,-6666,-44275,-1860
UW,113.961,196.853,1546.39,2471.96,3493.95,18122,17189,12776,-18917,-23695,3743,-35212,10089,-44854,17402,-57834,20686,422,-6730,-41900,-2106
IY,102.352,272.413,2075.06,2535.61,4141.9,15025,19469,9379,-22092,-11570,1104,-21972,11154,-32755,21084,-48482,24150,912,-5090,-41792,-1267
UX,94.0966,304.906,1025.1,2368.47,3470.02,18872,16947,13475,-16074,-15513,-3450,-24937,10056,-36915,21467,-52742,25640,-372,-6909,-42786,-2663
AE,81.1773,762.551,1658.96,2270.18,3255.87,12683,15253,5990,-28054,-14309,-10413,-26958,-3849,-37698,5887,-49672,12227,-512,-16576,-41493,-9550
AH,109.338,197.855,1202.51,2246.96,3395.28,14236,17048,10590,-11032,-12938,697,-25670,4418,-37331,11290,-51564,16621,-3190,-8354,-45657,-3042
AH,0,293.585,1226.83,2896.53,3817.53,14066,15403,11069,-15503,-20202,4956,-29593,11105,-38795,17241,-53573,19225,-3730,-10358,-45793,-3970
AE,91.3421,599.955,1440.88,1901.77,2855.84,15122,17016,7848,-25530,-22379,6559,-30669,15450,-40287,21032,-53759,18086,-2029,-11740,-44178,-5960
AA,81.1611,492.421,1088.74,2301.9,3005.59,13513,16175,10819,-19984,-24108,-10353,-35548,-893,-45304,10091,-58506,17983,-1797,-9704,-44698,-4453
UW,113.13,183.847,1406.89,2426.42,3761.86,15693,15312,10581,-18307,-16226,709,-29997,4955,-40688,12354,-54117,18128,-1098,-5815,-44162,-1893
IY,100.22,301.717,1992.62,2483.64,3749.42,14900,19219,7918,-22397,-11160,3141,-22275,11593,-32132,21043,-48486,23839,-148,-5084,-42994,-1432
UX,94.2224,282.977,1005.41,2273.78,3327.04,20105,16708,9881,-18665,-14372,-1439,-24257,10525,-35426,21084,-51025,25600,-1551,-7269,-43900,-2775
AE,80.7338,679.228,1634.56,2261.25,4353.46,12905,17497,4569,-28189,-15640,-7369,-28494,-1607,-40114,7379,-52120,13053,-1915,-14648,-43918,-8078
