v,f0,f1,f2,f3,f4,ulx,uly,llx,lly,t1x,t1y,t2x,t2y,t3x,t3y,t4x,t4y,mnix,mniy,mnmx,mnmy
AA,82.5575,420.329,1299.09,1827.31,2730.83,15151,16091,9962,-17060,-12917,2737,-24042,11618,-35509,16303,-52474,18815,-1372,-5344,-44151,-2783
AH,89.9207,459.103,875.142,2061.1,3378.21,14755,18063,9294,-20581,-18603,1715,-30881,2401,-42265,8728,-55514,16921,-2081,-7786,-45131,-4235
AO,111.375,418.462,780.417,2112.51,3073.98,19523,15787,10910,-22078,-35901,-1353,-41873,10852,-49878,18347,-63226,21080,-2585,-12628,-43986,-7935
UX,107.509,306.947,1194.88,2259.42,3123.63,19590,17312,7511,-18290,-19010,5412,-28101,16189,-37346,22738,-52195,24335,-1290,-6759,-42901,-3958
UX,99.2218,291.57,1436.09,2362.94,3386.24,18639,17657,12061,-15534,-10889,53,-22506,8421,-33114,19501,-49373,24197,963,-5887,-41466,-3534
AH,95.5684,638.198,1401.31,2309.44,3397.33,13885,17947,6702,-25722,-14955,-2473,-28346,1679,-40051,8413,-53269,11024,-1216,-9748,-43141,-6075
IH,82.4983,474.119,2000.45,2618.92,3740.51,14175,17695,6361,-23072,-11092,571,-22140,5322,-32402,15158,-47232,20282,-1859,-7813,-43470,-4706
IH,95.9535,563.789,1789.37,2702.53,3536.45,13096,15665,4857,-28191,-11237,-4106,-22109,2852,-31534,11489,-45753,15926,-461,-10867,-41987,-7440
IY,82.4741,337.902,2002.24,2472.09,4262.58,15921,18635,3864,-24265,-11524,395,-20878,10055,-29959,20020,-45746,24539,-2298,-8294,-44032,-4779
AH,102.33,596.977,1311.24,2360.9,3352.96,16244,19173,3944,-25212,-17887,-3641,-28985,1644,-38013,9093,-51116,14901,-2863,-9427,-44474,-5243
AH,110.588,572.263,1326.24,2186.11,2735.39,16956,15851,5407,-22509,-23673,-3555,-33206,6039,-41852,14755,-56330,20451,-2534,-8246,-43862,-4546
IH,86.4727,373.624,1730.66,3523.3,4057.76,16422,19159,5535,-20396,-11637,5482,-23833,12122,-33934,18203,-48997,19853,-960,-4278,-43011,-2535
UX,109.069,271.085,1174.72,2210.29,3264.06,18734,14215,8083,-17768,-14582,-793,-24549,10757,-35360,20704,-50657,24800,-1963,-7704,-43668,-4291
IH,90.9657,443.061,1801.96,2393.34,3562.57,14222,16954,4331,-24000,-12113,-192,-23502,7065,-33995,16656,-48716,19738,-1704,-7480,-43433,-3845
UX,110.232,303.318,1476.33,2214.35,3030.99,18299,17025,10618,-17168,-17881,4447,-27237,14791,-37382,21690,-52696,22862,-972,-4629,-42801,-2310
AA,101.187,583.458,1207.12,2564.55,3923.83,16033,18713,7683,-25705,-28275,7401,-37956,17182,-48747,18986,-59769,14652,-1521,-9753,-43727,-5733
IY,92.9797,284.589,1811.4,2566.62,3556.21,15356,18202,9318,-19744,-12732,2541,-23205,10731,-33334,17644,-48816,21952,-754,-5458,-43364,-2649
IY,93.9589,255.512,1924.42,2436.28,3622.61,15240,18489,9603,-19837,-14516,7827,-24117,15321,-33492,22117,-49225,21810,120,-5868,-41884,-3744
IH,90.9134,387.791,1770.97,2392.8,3192.38,14314,19346,8364,-20964,-17885,4638,-28302,11660,-38644,16739,-52477,16427,-83,-5380,-41850,-2746
IH,63.4611,355.784,1571.15,2469.37,3524.5,14221,18595,10209,-18231,-15325,5151,-27549,12064,-38116,15657,-52041,15644,-42,-4041,-42025,-2138
IY,94.4964,121.651,2143.11,2637.75,3563.97,14769,19244,7516,-21929,-14870,5801,-24802,13752,-33095,20941,-48880,22060,-141,-5456,-42458,-3021
AE,103.589,540.868,1771.78,2374.94,3276.95,14368,18105,4798,-25855,-19575,-3950,-28616,4358,-35731,12875,-49535,17466,-1232,-9617,-43192,-5765
UX,93.5497,181.848,1845.75,2621.14,4116.73,16242,19579,9859,-17579,-16669,8725,-26143,16968,-35466,22600,-49678,21404,372,-5924,-41352,-3667
AA,99.4221,589.721,1319.2,1735.2,2864.63,15768,18846,6334,-25015,-26663,8690,-36511,15339,-47269,17370,-58393,11663,-1132,-9415,-42339,-5987
UX,99.1985,294.763,1499.66,2222.77,2681.28,16027,17669,10023,-16541,-15809,785,-25547,11008,-35682,18506,-51697,23293,-548,-4961,-42561,-2777
IH,85.4229,279.513,1180.02,2192.46,3770.23,14937,18103,8790,-19627,-14462,7593,-24447,13612,-33942,20448,-49258,22807,-567,-5015,-42260,-3101
IY,98.0286,264.467,2064.15,2455.47,3271.5,15677,17297,11063,-17116,-15757,3235,-24111,15346,-33510,22864,-49397,22853,-60,-5107,-41777,-2890
IY,99.6707,308.573,809.058,2227.33,3298.06,15824,16717,11029,-16277,-14464,3287,-23480,14476,-32947,21763,-48630,24719,-172,-5796,-41583,-3295
AA,89.1051,630.914,1190.62,1909.06,2936.55,15371,16698,9945,-19218,-33237,-3210,-41552,6987,-49587,14579,-62110,19586,-703,-11885,-41454,-7717
AO,87.0944,301.813,1073.04,1429.17,2296.82,16138,17562,10366,-20664,-25164,-8765,-35674,1491,-45174,13023,-59200,19440,-935,-10751,-42431,-6893
AO,86.8702,557.208,874.273,2173.87,3242.03,15633,18939,9619,-21115,-13759,1027,-28548,884,-42052,4889,-56136,13350,-2783,-10854,-44482,-6734
IY,83.633,320.661,2028.31,2427.74,3264.62,15027,18868,9153,-20000,-11706,-427,-21301,11596,-31914,20871,-48319,23185,-475,-6784,-42795,-4048
UX,94.5277,252.904,1566.97,2234.3,3400.03,18159,17995,11439,-17701,-8831,-1213,-19341,10078,-29648,20965,-46543,24267,441,-8011,-42472,-2054
IH,128.817,381.673,1748.73,2265.3,3201.32,17549,17672,10819,-18814,-18728,1530,-28777,11438,-38583,19292,-53008,20919,-497,-6767,-44282,-466
AE,93.1914,601.07,1569.26,2444.73,3179.74,14617,17148,6155,-27644,-21540,-1701,-29638,9047,-38802,15990,-53111,17521,-2188,-10566,-45624,-3446
AA,80.413,694.407,1220.04,2155.47,3365.07,14086,18030,5592,-27788,-22700,-6079,-35752,-1898,-47105,4285,-58332,11389,-2763,-10368,-46664,-3077
EH,97.9755,574.266,1137.06,2424.99,3247.51,13464,15827,6968,-23811,-20022,-1938,-31516,3907,-42974,9785,-56441,15366,-3278,-8973,-47257,-2013
IY,94.5416,293.316,1735.84,2453.26,3750.48,13286,18341,6840,-22898,-12804,2237,-22487,11936,-32334,19670,-48727,23519,-560,-4504,-44889,1003
IH,85.4546,244.912,1331.95,3537.2,4482.4,13271,18173,8377,-20173,-11851,5668,-23533,11491,-33945,16058,-48945,19751,-354,-4153,-44430,894
IY,100.442,487.218,1578.83,2962.99,3623.46,14658,19044,10287,-20187,-19305,9308,-29001,18391,-38863,23000,-52692,20476,-35,-4921,-44114,463
IY,89.127,232.105,1758.87,2291.09,3524.8,13985,18206,7769,-23190,-15619,6985,-25475,13394,-35310,19337,-49945,22989,-1043,-5079,-45622,361
IY,110.025,316.015,1974.43,2494.93,3789.66,13441,17077,8360,-21740,-12558,4795,-24584,13124,-36045,21709,-50793,22936,-314,-7021,-44188,-1114
IY,103.701,231.75,2036.49,2846.05,3352.25,15557,16858,11896,-16951,-15045,5234,-25082,16522,-35871,22886,-51735,20287,-711,-5355,-44535,190
IY,95.4297,354.452,1679.39,2218.68,2974.02,15189,18801,11451,-18459,-19580,6866,-29071,17597,-39404,22466,-53459,18875,860,-4993,-43099,514
EH,85.7145,223.935,1775.49,2516.57,3572.39,14646,18359,7379,-25883,-12063,-1454,-21126,7966,-30126,18153,-46202,23209,-1637,-9831,-44943,-3307
IY,84.4291,491.018,1938.59,2763.96,3531.1,14387,18162,8816,-22139,-11690,4685,-23440,13286,-33293,20692,-49528,23536,-1182,-6895,-44867,-1025
IH,104.8,502.582,1146.26,2619.38,3350.67,14836,17937,12794,-18438,-15309,1782,-27135,5704,-38214,10626,-52358,16647,-30,-5313,-44052,-86
IH,100.893,273.864,2304.57,2499.7,3756.79,14336,19312,8504,-24733,-11792,-1834,-21631,7664,-32278,18089,-50160,23464,-747,-6795,-44338,-836
AE,83.8408,448.03,1461.6,2445.87,3739.54,14181,18401,9824,-21484,-11415,-1669,-23939,7616,-35650,12820,-51768,17639,-701,-5225,-44369,220
IH,99.4659,334.77,1492.24,2268.44,3175.73,15889,17007,12792,-17203,-14769,-5101,-25687,5875,-36235,14270,-52251,21780,-1974,-7550,-45597,-1295
IY,102.412,437.702,1797.49,2402.29,3635.48,14527,18232,9192,-22693,-12202,3119,-23438,10287,-33883,17085,-47902,23025,-1436,-7353,-45259,-1277
AE,91.0169,289.194,1473.6,2376.3,3636.45,14416,18593,9666,-22633,-10312,1319,-22542,8889,-33231,16080,-48331,21358,-781,-6665,-44372,-737
EH,87.2411,514.272,1282.87,2168.83,3058,13726,18287,9221,-23130,-11454,-3524,-24960,4529,-37499,10480,-51926,14781,-1233,-8064,-44689,-1985
IY,90.1404,184.53,1287.91,3089.65,4161.06,15932,19571,12087,-21395,-13520,5643,-23014,14963,-32456,22200,-48897,24325,637,-6085,-42944,-1036
EH,101.893,130.036,1607.77,3533.44,4222.83,15571,19097,10149,-24536,-18542,-29,-31485,8233,-43162,12324,-57005,12503,-57,-7787,-43331,-2093
IH,118.204,835.893,1803.56,3581.66,4339.14,14689,19623,11743,-18878,-12183,3667,-26622,11197,-38099,14542,-52656,16028,229,-3801,-43491,744
IH,105.795,186.213,1360.88,2710.9,3453.41,13585,15156,15203,-12566,-9523,3133,-24317,9503,-36219,13352,-51348,16216,51,-4397,-43796,367
EH,99.8535,589.875,1071.16,2296.63,3067.15,13973,18142,9269,-23867,-12490,-1483,-26894,4829,-38965,9758,-53116,14757,-1662,-8527,-45212,-2413
IH,89.0459,259.472,1329.33,2676.14,3716.47,14635,18244,9464,-19386,-20427,11476,-32253,13076,-43542,16903,-57074,18180,-2308,-7959,-46136,-1560
AE,81.4175,451.244,941.729,2726.06,4167.42,15235,17885,9462,-22020,-22647,13754,-34071,14788,-45394,17547,-58668,17058,-2137,-7748,-45777,-1424
AE,93.508,605.107,1591.95,2254.38,3391.63,13232,16753,4097,-29388,-15276,-3260,-26617,993,-38438,6319,-52700,12476,-2892,-11173,-46085,-4115
AA,92.5952,530.732,1196.5,2013.93,3025.92,15600,18896,11238,-24600,-22307,-3062,-34067,4085,-45448,12046,-58558,18347,-2145,-14264,-44702,-6536
UX,103.122,230.924,1742.07,2275.89,2929.52,16917,19602,16778,-13839,-14036,415,-23447,12614,-34128,21023,-50673,23847,1820,-5528,-41903,-583
UX,0,347.737,1781.78,2541.83,3631.12,15127,18625,10294,-20500,-18109,10025,-28954,11659,-39445,15705,-53795,19306,-777,-4858,-45088,350
IY,96.8522,481.222,1776.64,3657.49,4689.03,14574,19238,9567,-21805,-12480,4294,-24461,12137,-34994,18908,-50871,23456,-663,-4256,-44983,723
EH,94.8208,424.172,972.47,2145.43,2847.6,13986,18635,8395,-24222,-12869,-2233,-26710,5942,-38514,10180,-52603,13351,-1551,-8583,-45050,-2420
AH,84.659,201.355,1335.19,2669.27,3738.61,14116,15729,7513,-24112,-17777,-1234,-32567,1552,-45982,6544,-59328,11045,-1831,-8014,-45842,-2126
IH,87.2612,334.901,1554.68,3837.13,4689.42,13679,15587,11780,-18608,-10892,-1047,-23664,6870,-35318,12833,-50823,15569,341,-5832,-43599,-597
IH,0,257.708,1255.83,2314.81,3880.54,13042,17450,9403,-20420,-11041,-1153,-23018,9936,-35385,17049,-51449,20181,-1112,-5646,-44616,-453
AO,101.098,571.805,1296.51,2943.79,3369.62,16017,19827,11562,-22153,-18342,-4721,-31989,1077,-43593,5832,-57016,12135,-1716,-10336,-45274,-3570
IY,104.587,297.738,1696.76,2171.39,2590.52,14204,15889,9715,-21717,-16419,1025,-25010,13391,-34552,20700,-49549,21195,-625,-7331,-44518,-1693
IH,104.92,298.785,1204.25,2376.68,3861.92,13967,18558,7802,-22919,-14436,3361,-25336,7654,-36673,13817,-52108,20452,-1370,-5929,-45287,-178
UX,127.512,440.324,1508.27,2455.4,3397.6,16129,17650,14454,-14285,-17725,2374,-27329,12385,-37559,19958,-52756,24213,326,-4041,-43545,930
IH,105.894,1215.23,2185.19,3245.48,3705.14,15665,17510,13901,-15368,-16062,2897,-27321,10495,-37498,17098,-52352,22452,611,-3865,-43184,748
IH,98.022,259.864,1528.39,2750.03,3680.03,14516,18658,8712,-23543,-16987,2607,-27633,10365,-37312,17272,-52029,18981,-20,-7015,-43545,-1854
IH,100.854,471.586,1881.93,2209.52,3300.49,13618,18287,9757,-18464,-11090,-2129,-21161,6087,-31947,16043,-49724,20952,-1123,-7728,-44003,-2321
IH,101.767,260.474,1716.61,2320.57,3547.92,13904,17911,10470,-13656,-13500,-1850,-21676,8430,-32354,18849,-50865,23886,-1573,-6907,-44947,-1300
UX,98.9638,184.582,1182.16,2673.21,4192.06,15697,14274,11517,-19250,-15072,-4585,-24785,6051,-35803,11461,-51589,20372,-1502,-7338,-44918,-1834
IH,89.5651,421.57,1155.06,2123.17,2848.17,14231,16175,11736,-18592,-10749,-1736,-22811,5150,-32841,13223,-47905,18681,-1924,-9057,-45350,-2739
IY,91.4162,377.355,1047.97,2209.25,3384.3,14796,19039,10320,-20233,-12564,1097,-23580,10571,-33265,18934,-48640,24007,-1027,-7049,-45103,-1557
IH,90.1076,233.52,1053.02,2352.34,3763.03,14192,18678,8893,-21491,-12718,3149,-23308,8359,-34454,14522,-49533,20568,-1757,-6586,-45953,-723
AH,80.9781,323.179,2194.38,3076.14,4034.82,14088,18369,11622,-15888,-13876,-454,-24380,4644,-34076,12387,-48460,19262,-1421,-8325,-44939,-2516
AH,90.9989,219.959,1090.44,2249.28,3619.77,14853,17453,10181,-23820,-16956,-5383,-29931,-11,-40493,7070,-53349,13763,-1857,-11047,-45289,-4112
EH,84.5262,316.106,1348.29,2336.19,3285.37,13718,16670,9366,-24902,-15699,-5848,-28040,2919,-39344,10022,-52144,15031,-225,-10761,-43412,-4387
EH,0,316.684,2083.53,2518.37,3678.92,14718,14855,10583,-17300,-19773,8260,-31709,13116,-42575,21090,-58000,24151,-2380,-6586,-46054,-878
IY,89.6417,800.327,1957.96,2727.37,3450.84,13943,17170,7630,-22477,-12107,4474,-24854,14000,-36616,22896,-53636,24164,-1262,-4907,-45327,135
IY,118.905,338.839,2209.63,3632.56,4457.81,13534,16770,9587,-22282,-10118,-1035,-21562,9053,-32904,20307,-49600,21191,407,-6082,-43140,-1007
IH,84.0982,362.985,1543.44,2273.86,3069.13,13555,18559,10439,-20377,-8216,880,-21424,9741,-33483,15562,-49482,19674,-38,-4526,-43749,109
AH,102.276,410.336,1558.58,2427.79,4289.77,14219,19820,8742,-23996,-18302,4729,-29334,12142,-39567,16174,-52919,15533,-271,-5592,-43466,-616
IH,89.9861,441.17,1893.75,2643.43,4078.95,13960,16204,11180,-18200,-14566,1442,-25851,8712,-36292,15152,-51397,17192,-1147,-6478,-44541,-1239
AE,94.45,502.958,1577.11,2311.63,3218.08,13641,17944,6862,-27131,-21993,-2348,-30583,8424,-39982,15137,-53454,16658,-1826,-11948,-45034,-5387
AE,86.2534,329.642,1219.25,2319.59,4105.27,15640,18312,9422,-20425,-17279,10468,-27550,16962,-37282,23744,-51972,25650,-1783,-5291,-45719,-266
IH,113.656,396.137,1509.43,2098.88,2781.15,16055,17881,13586,-17217,-19663,-1021,-26258,11305,-34886,18655,-49182,18859,-470,-11135,-43660,-4943
IH,77.4134,305.457,1337.11,2276.77,4141.44,14117,16551,8523,-23120,-12890,-1100,-24491,6718,-35014,13221,-49540,16336,-1337,-7873,-45066,-2169
IY,93.4785,266.549,2204.82,2745.1,3691.11,14584,18291,7836,-24651,-13861,-937,-22705,11565,-31476,21255,-49020,24758,962,-6698,-41699,-2711
AA,81.8465,732.948,1284.65,2149.06,3352.61,13412,17553,7705,-25547,-16804,-7020,-32223,-2545,-43379,4761,-54874,10633,-1288,-12196,-42790,-6930
UX,81.4607,320.764,1198.1,2343.31,3275.93,17801,16278,11636,-17735,-15046,-2227,-24746,9319,-35172,19897,-51833,24817,-940,-5845,-43530,-1835
AO,85.339,637.601,1113.44,2068.93,3050.5,15317,19567,9631,-20460,-20911,-6564,-35300,1952,-46774,9823,-59231,15747,-1849,-8453,-43734,-3780
IH,94.1416,446.242,1766.71,2527.49,3694.86,13963,17612,5486,-21724,-13575,-33,-24561,8623,-34980,16017,-49904,18116,-1161,-5663,-43034,-2404
AE,86.2747,646.002,1592.53,2390.73,3596.19,13060,17927,5989,-23387,-14620,-3607,-28049,4239,-41111,10694,-54431,13493,-1892,-9762,-43547,-5181
EH,90.2603,549.687,1685.94,2443.04,3675.23,13069,16827,4500,-24340,-13525,-2319,-26395,5662,-38321,12217,-53019,14299,-1687,-7681,-43337,-3414
AH,91.6505,559.49,1499.94,2381.64,3369.47,13634,18033,7138,-24363,-16002,-2870,-30206,3283,-42831,7747,-56360,11227,-967,-6581,-43066,-3085
UW,94.1076,438.44,1546.02,2428.12,3295.63,16002,20920,10828,-18059,-13293,-1528,-25821,5642,-37972,9676,-53759,13173,-321,-5783,-42265,-2621
AH,100.552,661.732,1216.06,2196.26,3070.08,14483,19176,12873,-21448,-17624,-5327,-32915,-545,-45162,6171,-57977,11723,2230,-7924,-39876,-4187
UX,101.961,318.166,988.708,3245.38,3640.63,16312,16223,14061,-14826,-19117,-1812,-29836,12193,-43286,21853,-60142,24325,404,-6233,-42133,-2749
AO,97.6936,722.606,1085.35,2138.74,3042.04,14881,18738,11428,-22093,-26622,-13037,-39381,-2199,-50336,8349,-62255,15142,-1666,-14878,-43624,-8869
IH,102.115,546.148,1936.97,2563.71,3614.33,14564,19040,10142,-22441,-9147,-793,-22119,6655,-32391,16635,-46488,20204,-667,-8436,-42243,-4501
AA,93.8068,804.164,1196.73,2197.29,2998.1,13610,17180,7690,-25896,-20658,-11565,-36120,-5200,-47023,4340,-58042,12491,-2879,-13899,-45115,-7793
IY,102.692,259.029,2217.53,2800.04,3723.64,13913,18099,11280,-21016,-7399,-1013,-18387,9359,-30040,20995,-46767,24646,482,-7782,-41270,-4301
